	code	id	name	type	ct	clid	superid	vi
0	telmisartan	3	telmisartan	rx	186000	1.0	64	1
1	insulin_aspart_insulin_aspart_protamine	16	insulin_aspart_insulin_aspart_protamine	rx	109852	2.0	156	4
2	montelukast_sodium	3668	montelukast_sodium	rx	3652757	3.0	65	6
3	betamethasone_sodium_phosphate	29	betamethasone_sodium_phosphate	rx	5827	4.0	27	12
4	naratriptan_hydrochloride	30	naratriptan_hydrochloride	rx	53606	5.0	164	13
5	antipyrine_benzocaine	31	antipyrine_benzocaine	rx	1327144	6.0	94,217	14
6	amoxicillin_clavulanate_potassium	47	amoxicillin_clavulanate_potassium	rx	13461086	7.0	183	20
7	carbinoxamine_tannate_dm_tan_pse_tan	55	carbinoxamine_tannate_dm_tan_pse_tan	rx	7802	8.0	37	23
8	estradiol_acetate	61	estradiol_acetate	rx	31945	9.0	209,60	26
9	injection_device	69	injection_device	rx	6202	10.0	200,62	29
10	bacitracin_zn_hc_neomycin_sulf_polymyxin_b_s	78	bacitracin_zn_hc_neomycin_sulf_polymyxin_b_s	rx	36496	11.0	50,43	33
11	bpm_phenyleph_hcl	82	bpm_phenyleph_hcl	rx	64503	12.0	48,218	34
12	perphenazine	90	perphenazine	rx	17267	13.0	93,216	36
13	azelastine_hydrochloride_fluticasone_propion	97	azelastine_hydrochloride_fluticasone_propion	rx	54114	14.0	27	38
14	hydrocodone_bitartrate_potassium_guaiacolsul	102	hydrocodone_bitartrate_potassium_guaiacolsul	rx	116067	15.0	38,44	41
15	dextroamphetamine_sulfate	109	dextroamphetamine_sulfate	rx	89180	16.0	175	42
16	ergocalciferol	703	ergocalciferol	rx	2181325	17.0	139	43
17	benazepril_hydrochloride	116	benazepril_hydrochloride	rx	534490	18.0	97	46
18	fenofibrate__micronized	134	fenofibrate__micronized	rx	179583	19.0	185	53
19	brompheniramine_tan_dm_tan_phenyleph_tan	145	brompheniramine_tan_dm_tan_phenyleph_tan	rx	14482	20.0	37,44	58
20	amoxicillin;clarithromycin;lansoprazole	148	amoxicillin;clarithromycin;lansoprazole	rx	310207	21.0	2,183	60
21	gg_hydrocod_bit_pse_hcl	149	gg_hydrocod_bit_pse_hcl	rx	52114	22.0	37	61
22	budesonide	150	budesonide	rx	1658719	23.0	166,27	62
23	cpm_tan_carbetapentane_tan_phenyleph_tan	6225	cpm_tan_carbetapentane_tan_phenyleph_tan	rx	21807	24.0	37,44	68
24	zinc_sulfate	182	zinc_sulfate	rx	9184	25.0	153,217	69
25	gemfibrozil	184	gemfibrozil	rx	533308	26.0	185	70
26	methocarbamol	190	methocarbamol	rx	1340288	27.0	15	72
27	sodium_chloride	202	sodium_chloride	rx	163690	28.0	141,39,77,60,105,191,217,205,122	74
28	clozapine	5664	clozapine	rx	7895	29.0	216	75
29	gentamicin_sulfate	206	gentamicin_sulfate	rx	1228540	30.0	171,2,43	77
30	levocetirizine_dihydrochloride	210	levocetirizine_dihydrochloride	rx	550135	31.0	48	79
31	peg_electrolyte_lavage_solution	215	peg_electrolyte_lavage_solution	rx	2547590	32.0	151,11,76,215	81
32	protriptyline_hydrochloride	225	protriptyline_hydrochloride	rx	10393	33.0	131	85
33	hydrochlorothiazide_losartan_potassium	227	hydrochlorothiazide_losartan_potassium	rx	801663	34.0	64	86
34	famotidine	239	famotidine	rx	822675	35.0	124	89
35	nitazoxanide	6188	nitazoxanide	rx	33887	36.0	113	94
36	arformoterol_tartrate	1029	arformoterol_tartrate	rx	11302	37.0	218	96
37	diphenhydramine_tannate	269	diphenhydramine_tannate	rx	9969	38.0	48	102
38	cpm_phenyleph_hcl	270	cpm_phenyleph_hcl	rx	155970	39.0	48,37,218	103
39	acetaminophen_pentazocine_hydrochloride	4979	acetaminophen_pentazocine_hydrochloride	rx	16719	40.0	35	109
40	abacavir_sulfate_lamivudine	285	abacavir_sulfate_lamivudine	rx	12039	41.0	0	111
41	phenytoin	287	phenytoin	rx	26063	42.0	146	113
42	loteprednol_etabonate_tobramycin	288	loteprednol_etabonate_tobramycin	rx	213230	43.0	50	114
43	chlorpheniramine_tannate_phenylephrine_tanna	315	chlorpheniramine_tannate_phenylephrine_tanna	rx	321211	44.0	48,218	123
44	rabeprazole_sodium	325	rabeprazole_sodium	rx	739239	45.0	11	126
45	guaifenesin	333	guaifenesin	rx	251111	46.0	109	127
46	apixaban	339	apixaban	rx	9788	47.0	22	130
47	cadexomer_iodine	344	cadexomer_iodine	rx	5166	48.0	67	132
48	hydrocortisone_acetate_pramoxine_hydrochlori	348	hydrocortisone_acetate_pramoxine_hydrochlori	rx	566529	49.0	125	134
49	amiloride_hydrochloride	354	amiloride_hydrochloride	rx	17345	50.0	192	138
50	amcinonide	358	amcinonide	rx	25678	51.0	125	140
51	entecavir	2349	entecavir	rx	9138	52.0	0	144
52	ethambutol_hydrochloride	368	ethambutol_hydrochloride	rx	11861	53.0	26	145
53	fluticasone_furoate	379	fluticasone_furoate	rx	486135	54.0	166	148
54	cpm_tan_dm_tan_pse_tan	383	cpm_tan_dm_tan_pse_tan	rx	27833	55.0	48,37	150
55	meloxicam	66	meloxicam	rx	3609837	56.0	210	153
56	ranitidine_hydrochloride	393	ranitidine_hydrochloride	rx	2140599	57.0	124	154
57	chlorophyllin_copper_complex_papain_urea	398	chlorophyllin_copper_complex_papain_urea	rx	19913	58.0	145	157
58	carisoprodol	2611	carisoprodol	rx	1284643	59.0	15	159
59	valacyclovir_hydrochloride	412	valacyclovir_hydrochloride	rx	2867155	60.0	0	161
60	acetaminophen	416	acetaminophen	rx	12303	61.0	61,71	164
61	disulfiram	422	disulfiram	rx	39667	62.0	122	166
62	didanosine	431	didanosine	rx	6561	63.0	0	167
63	influenza_virus_vaccine__live	447	influenza_virus_vaccine__live	rx	14688	64.0	116	174
64	lovastatin_niacin	453	lovastatin_niacin	rx	87607	65.0	185	175
65	insulin_lispro__recombinant	77	insulin_lispro__recombinant	rx	447661	66.0	156	178
66	moexipril_hydrochloride	1261	moexipril_hydrochloride	rx	45795	67.0	97	179
67	cetrorelix_acetate	464	cetrorelix_acetate	rx	7850	68.0	101	180
68	duloxetine_hydrochloride	472	duloxetine_hydrochloride	rx	1381793	69.0	131	183
69	mexiletine_hydrochloride	482	mexiletine_hydrochloride	rx	9768	70.0	106	185
70	guaifenesin_pseudoephedrine_hydrochloride	487	guaifenesin_pseudoephedrine_hydrochloride	rx	1532913	71.0	109,37,218	187
71	ivermectin	490	ivermectin	rx	55412	72.0	188	188
72	carbetapentane_tannate_pseudoephedrine_tanna	512	carbetapentane_tannate_pseudoephedrine_tanna	rx	12472	73.0	44	197
73	carbetapentane_citrate_guaifenesin	518	carbetapentane_citrate_guaifenesin	rx	59532	74.0	44	199
74	penicillin_g_benzathine	2686	penicillin_g_benzathine	rx	6117	75.0	183	200
75	rotigotine	538	rotigotine	rx	8241	76.0	121	206
76	hydroxyzine_hydrochloride	555	hydroxyzine_hydrochloride	rx	2037802	77.0	199	213
77	dipyridamole	558	dipyridamole	rx	29138	78.0	214	214
78	oxaprozin	561	oxaprozin	rx	289144	79.0	210	215
79	pindolol	562	pindolol	rx	17150	80.0	42	216
80	ezetimibe	568	ezetimibe	rx	963921	81.0	185	219
81	norfloxacin	4627	norfloxacin	rx	14343	82.0	176,171	221
82	glimepiride_rosiglitazone_maleate	5028	glimepiride_rosiglitazone_maleate	rx	20806	83.0	31	227
83	methotrexate	588	methotrexate	rx	141544	84.0	9	228
84	teriparatide	592	teriparatide	rx	52080	85.0	122	230
85	phentolamine_mesylate	593	phentolamine_mesylate	rx	6331	86.0	79	231
86	erythromycin	2539	erythromycin	rx	2120947	87.0	171,186,126,43	236
87	loratadine	614	loratadine	rx	153807	88.0	48,37	241
88	fluvastatin_sodium	99	fluvastatin_sodium	rx	182710	89.0	185	242
89	oxandrolone	620	oxandrolone	rx	6251	90.0	45	243
90	gramicidin_neomycin_sulfate_polymyxin_b_sulf	625	gramicidin_neomycin_sulfate_polymyxin_b_sulf	rx	106360	91.0	171,43	246
91	esomeprazole_magnesium	628	esomeprazole_magnesium	rx	2885914	92.0	11	248
92	mefenamic_acid	632	mefenamic_acid	rx	63728	93.0	210	249
93	dutasteride_tamsulosin_hydrochloride	636	dutasteride_tamsulosin_hydrochloride	rx	33171	94.0	122	251
94	eletriptan_hydrobromide	645	eletriptan_hydrobromide	rx	242799	95.0	164	254
95	phenobarbital	650	phenobarbital	rx	58604	96.0	24	256
96	ustekinumab	656	ustekinumab	rx	8122	97.0	137	259
97	thalidomide	668	thalidomide	rx	11124	98.0	82	264
98	amlodipine_besylate_hctz_olmesartan_medoxomi	669	amlodipine_besylate_hctz_olmesartan_medoxomi	rx	42214	99.0	64	265
99	ethinyl_estradiol_ethynodiol_diacetate	671	ethinyl_estradiol_ethynodiol_diacetate	rx	131934	100.0	28	267
100	gg_hydrocod_bit_phenyleph_hcl	678	gg_hydrocod_bit_phenyleph_hcl	rx	88132	101.0	37	268
101	trimethoprim	681	trimethoprim	rx	71801	102.0	113	270
102	loteprednol_etabonate	684	loteprednol_etabonate	rx	738459	103.0	166	272
103	belladonna_alkaloids_ergotamine_tart_pb	690	belladonna_alkaloids_ergotamine_tart_pb	rx	33925	104.0	4	274
104	nepafenac	693	nepafenac	rx	273147	105.0	166	275
105	clotrimazole	696	clotrimazole	rx	513641	106.0	52	276
106	esomeprazole_magnesium_naproxen	700	esomeprazole_magnesium_naproxen	rx	61617	107.0	210	279
107	ciprofloxacin_hydrochloride_hydrocortisone	701	ciprofloxacin_hydrochloride_hydrocortisone	rx	395741	108.0	171	280
108	nicardipine_hydrochloride	702	nicardipine_hydrochloride	rx	5776	109.0	107	282
109	cephalexin	717	cephalexin	rx	11658480	110.0	159	288
110	acetic_acid	719	acetic_acid	rx	56512	111.0	141,128	289
111	ingenol_mebutate	721	ingenol_mebutate	rx	17307	112.0	6	290
112	epinastine_hydrochloride	6267	epinastine_hydrochloride	rx	124872	113.0	12	298
113	fosinopril_sodium_hydrochlorothiazide	741	fosinopril_sodium_hydrochlorothiazide	rx	18951	114.0	97	299
114	estradiol_norgestimate	3035	estradiol_norgestimate	rx	6418	115.0	209	300
115	acamprosate_calcium	746	acamprosate_calcium	rx	49810	116.0	122	301
116	citalopram_hydrobromide	752	citalopram_hydrobromide	rx	2772791	117.0	131	303
117	carvedilol	759	carvedilol	rx	988468	118.0	42	306
118	brompheniramine_tan_dm_tan_pse_tan	761	brompheniramine_tan_dm_tan_pse_tan	rx	16690	119.0	37	307
119	antibacterial_anti-inflammatory_combination	762	antibacterial_anti-inflammatory_combination	rx	47137	120.0	50,125	308
120	desvenlafaxine_succinate	776	desvenlafaxine_succinate	rx	309503	121.0	131	311
121	sulfanilamide	789	sulfanilamide	rx	7563	122.0	67	315
122	flurandrenolide	795	flurandrenolide	rx	103578	123.0	125	317
123	fluorouracil	802	fluorouracil	rx	517111	124.0	6,9	319
124	rivastigmine	808	rivastigmine	rx	61026	125.0	127	323
125	baclofen	1337	baclofen	rx	450788	126.0	15	324
126	chlorpheniramine_polistirex_hydrocodone_poli	811	chlorpheniramine_polistirex_hydrocodone_poli	rx	2153316	127.0	44	326
127	codeine_phos_phenyleph_hcl_pyril_mal	821	codeine_phos_phenyleph_hcl_pyril_mal	rx	7814	128.0	44	329
128	nevirapine	822	nevirapine	rx	10631	129.0	0	330
129	propylthiouracil	827	propylthiouracil	rx	39774	130.0	53	331
130	tropicamide	831	tropicamide	rx	7389	131.0	20	333
131	eprosartan_mesylate	837	eprosartan_mesylate	rx	12260	132.0	64	336
132	prednisolone_acetate	844	prednisolone_acetate	rx	1325053	133.0	166,27	340
133	hyaluronate_sodium	855	hyaluronate_sodium	rx	46124	134.0	122,217	343
134	hc_ace_neomycin_sulf_polymyxin_b_sulf	858	hc_ace_neomycin_sulf_polymyxin_b_sulf	rx	5174	135.0	43	345
135	flavocoxid	866	flavocoxid	rx	10687	136.0	122	349
136	hydrochlorothiazide	867	hydrochlorothiazide	rx	3965613	137.0	18	350
137	carbinoxamine_maleate	871	carbinoxamine_maleate	rx	75203	138.0	48	352
138	terbinafine_hydrochloride	888	terbinafine_hydrochloride	rx	1019399	139.0	52,206	356
139	mestranol_norethindrone	910	mestranol_norethindrone	rx	23110	140.0	28	365
140	febuxostat	913	febuxostat	rx	59107	141.0	211	366
141	salicylic_acid	916	salicylic_acid	rx	163584	142.0	100,67	368
142	linaclotide	917	linaclotide	rx	25917	143.0	11	369
143	acetaminophen_caffeine_dihydrocodeine_bitart	919	acetaminophen_caffeine_dihydrocodeine_bitart	rx	42633	144.0	38	371
144	perindopril_erbumine	920	perindopril_erbumine	rx	28665	145.0	97	372
145	rifampin	921	rifampin	rx	161268	146.0	26	373
146	diphenhydramine_hcl_phenyleph_hcl	151	diphenhydramine_hcl_phenyleph_hcl	rx	7226	147.0	48,218	374
147	bethanechol_chloride	930	bethanechol_chloride	rx	55616	148.0	127	376
148	memantine_hydrochloride	937	memantine_hydrochloride	rx	241185	149.0	121	377
149	hydrocodone_bitartrate_phenylephrine_hydroch	939	hydrocodone_bitartrate_phenylephrine_hydroch	rx	16870	150.0	44	378
150	erlotinib_hydrochloride	940	erlotinib_hydrochloride	rx	21566	151.0	9	379
151	tinidazole	948	tinidazole	rx	103557	152.0	113	382
152	pramipexole_dihydrochloride	950	pramipexole_dihydrochloride	rx	247711	153.0	121	384
153	ethinyl_estradiol_levonorgestrel	963	ethinyl_estradiol_levonorgestrel	rx	1347263	154.0	28	388
154	influenza_a_virus_vaccine__h1n1__inactivated	967	influenza_a_virus_vaccine__h1n1__inactivated	rx	26867	155.0	116	389
155	isosorbide_mononitrate	971	isosorbide_mononitrate	rx	563009	156.0	93	390
156	amlodipine_besylate_valsartan	979	amlodipine_besylate_valsartan	rx	148246	157.0	107	394
157	ranolazine	987	ranolazine	rx	64076	158.0	64	398
158	sulconazole_nitrate	993	sulconazole_nitrate	rx	21435	159.0	52	400
159	sodium_fluoride_xylitol	1003	sodium_fluoride_xylitol	rx	12171	160.0	117	403
160	acetaminophen_tramadol_hydrochloride	1005	acetaminophen_tramadol_hydrochloride	rx	1028924	161.0	71	404
161	alosetron_hydrochloride	1014	alosetron_hydrochloride	rx	7542	162.0	11	406
162	nystatin	1033	nystatin	rx	2486017	163.0	52,206	412
163	dexchlorpheniramine_tan_pse_tan	1040	dexchlorpheniramine_tan_pse_tan	rx	15451	164.0	48,218	414
164	risedronate_sodium	1053	risedronate_sodium	rx	628415	165.0	122	419
